latitude,longitude,tpi_15m
42.10433916147717,-117.8654699838036,-17.8541259765625
48.9010864502828,-123.5493292366336,
36.60252578131922,-116.30922921561807,2.9327392578125
44.50233198879669,-122.86571221855682,-15.727432250976562
47.635796197088176,-122.66106766370572,13.565406799316406
36.989680025223066,-117.79650344836794,37.3331298828125
43.08152551909172,-120.49462245004769,
39.80454997340312,-114.95706585010004,
38.85539283158753,-114.5032953515424,-7.6531982421875
44.87921448592415,-122.72078145666362,-18.733856201171875
44.63864448788806,-122.48213338801314,22.03558349609375
44.04239300829592,-122.07813551353044,-51.8935546875
44.48063810872105,-122.79490583520791,-23.722610473632812
36.96749831784071,-116.0048979680596,-2.321044921875
40.43212126759892,-116.51657555622565,-0.0103759765625
47.43907008578524,-121.47645576444457,21.1297607421875
48.45747709651691,-122.9295893124936,
42.752635703018846,-123.80088778509662,-48.16064453125
42.584515600070446,-120.77980141056608,-46.900146484375
46.67239646485319,-120.72560148393842,-3.14251708984375
43.76811657085193,-120.36963342486752,-5.7315673828125
43.728513199894905,-117.94189921759678,101.827880859375
46.0683382498863,-120.02178448701343,5.21600341796875
36.7472132067012,-114.30373075578504,
47.280661667345065,-121.42177871776754,99.12060546875
48.21813162879407,-122.29222116605152,-8.98556137084961
47.09102875240448,-121.20094246382114,
48.7319746754032,-122.45752497029504,0.6926727294921875
46.58654828258992,-118.67399703772672,
43.03012426749678,-120.6345018672603,
48.38622900387482,-122.65707184732312,-7.9653096199035645
36.529386185035335,-114.0987644650884,7.6971435546875
46.9568096731978,-120.7770537010497,-71.17938232421875
47.50469196078763,-117.18436776176854,0.6529541015625
43.773132022244425,-120.5118211036764,-1.8646240234375
44.62908130529112,-122.75828010681111,-4.377685546875
45.1189478638216,-116.69055568226356,-28.26171875
40.02225893655218,-116.5879897640421,-1.859375
46.26335298756834,-118.25502061872398,
48.97115380395597,-122.36456171685472,
44.476446671228,-122.35846113334505,17.85650634765625
36.553664476890674,-114.60021264708848,-27.77227783203125
46.31653346024677,-117.7224937694364,
42.316678109616525,-117.79887219193807,-6.60546875
36.0202321300259,-116.55972391237458,19.585693359375
46.24998836516532,-120.5797089037464,
40.00963675508719,-116.79890117208468,-24.0357666015625
44.07032827764859,-117.5880531725536,-7.81884765625
36.72060708712878,-117.05986905346208,
38.38702558371647,-119.38006860632386,22.939208984375
46.25665012200528,-118.1374142411658,
42.28297886297853,-117.88508612537112,-13.217529296875
38.79977889199738,-114.67737677127388,52.16943359375
36.873338910072334,-114.7735978474449,-10.39996337890625
35.00133043108112,-119.75894618059004,-63.2918701171875
38.86643195347962,-114.74289629967798,644.4212646484375
44.8365726628829,-117.67691623345677,36.8699951171875
36.474787487069314,-117.36408114853477,87.74365234375
45.94671591466744,-122.22071354324616,-136.296875
48.39676808270326,-123.14788548648396,
40.162164176628174,-116.49956208678545,-3.387451171875
44.12384917455284,-122.18177893307032,
39.41892864123705,-114.53735831735754,
44.98592571058347,-117.55952456261788,17.709228515625
40.149265566019736,-116.8395577968075,-14.4591064453125
46.698024225398186,-117.28049958138604,
36.74087839179906,-117.47202976117978,-54.5699462890625
48.665806889916766,-123.73625618737915,24.585693359375
45.46532712088141,-122.60764140460766,
48.19967985414793,-122.28430154246576,-3.3585853576660156
48.88023801742262,-123.81769859915474,-37.2337646484375
48.48034083296864,-122.82376333330429,
44.43876664468142,-117.34908312554806,-8.60968017578125
39.83290244761385,-114.8544991581728,
44.90911605821621,-122.3382786998364,1.93902587890625
36.066962902961215,-117.36274276909612,-15.6478271484375
38.84590829742928,-114.63024649795558,-34.13134765625
42.65273904225507,-123.68973137235052,
48.73832028061871,-122.93532880708716,
38.38766198473838,-119.04510186196764,7.29443359375
36.02274870264874,-114.8254731906703,-20.751708984375
47.96821961073594,-117.02513925288471,-4.9234619140625
38.10900012468507,-114.28784734416166,
39.50353911197684,-114.55585421082284,6.59814453125
47.87492219101138,-117.0364579382218,57.46826171875
45.56083021230376,-116.09179926630078,-10.9490966796875
36.42492222293208,-114.01899910397483,-3.299560546875
42.08397949651502,-120.4933794694064,-1.089599609375
35.54455042787389,-119.9810177569527,5.768218994140625
35.503787928139474,-119.20131087347826,-0.18138885498046875
38.95477458017412,-114.15755168626876,-86.612548828125
