elevation,slope,aspect,tri,lith_score,presence,latitude,longitude
3346.2056,27.094173,170.5701,12.297943,0.4,1,39.366669,-114.599998
62.34583282470703,4.954253673553467,272.6164245605469,2.1411142349243164,0.9,1,48.073572,-123.089484
198.3169708251953,1.6801035404205322,318.2505187988281,0.9534587860107422,0.15,1,44.9,-122.8
738.4172973632812,23.532325744628906,52.30967712402344,10.280044555664062,0.9,1,42.4,-123.1
49.69624328613281,1.1149331331253052,127.4500961303711,0.5996127128601074,1.0,1,45.2,-123.0
1142.9296875,1.6370666027069092,150.51377868652344,0.676727294921875,1.0,1,42.7,-117.7
59.72063064575195,0.7321245074272156,41.36502456665039,0.31577539443969727,1.0,1,45.1,-122.8
817.2874145507812,6.16358757019043,237.4026641845703,2.1217880249023438,0.15,1,43.8,-117.6
1382.8465576171875,3.412248134613037,159.56494140625,1.4505767822265625,0.15,1,43.7,-118.0
106.39405822753906,0.5631844401359558,181.73681640625,0.38930511474609375,0.4,1,47.6684275739,-122.3508772655
0.0,0.0,0.0,0.0,1.0,1,47.95761062251738,-124.3660246433851
596.7928466796875,18.551298141479492,61.02486801147461,8.510269165039062,0.9,1,36.22392,-114.90022
329.54998779296875,0.0,0.0,0.0,0.4,1,36.172459,-114.429866
32.34700012207031,7.767151832580566,280.5046081542969,4.703396797180176,0.2,1,48.610969,-122.986114
340.5284118652344,0.8484646677970886,141.75045776367188,0.32872772216796875,1.0,1,46.6542,-120.5289
1436.1103515625,0.17329354584217072,314.6562805175781,0.0694732666015625,0.85,1,38.9796066,-119.7640152
1284.707763671875,3.11035418510437,69.65806579589844,1.2860565185546875,0.15,1,42.9,-117.9
2324.332275390625,7.939465045928955,339.89288330078125,3.85260009765625,0.9,1,39.37,-114.7
0.0,0.0,0.0,0.0,0.7,1,47.8024483,-124.1048126
0.0,0.0,0.0,0.0,0.7,1,47.8803101,-124.1805573
659.3433227539062,24.358928680419922,66.65147399902344,11.067100524902344,1.0,1,47.3806,-121.6453
192.3769073486328,8.83012580871582,29.662450790405273,3.50830078125,0.4,0,45.8463153301954,-122.44120148030729
-82.21556854248047,0.0521685816347599,226.75132751464844,0.021950721740722656,0.4,0,36.3772021841676,-116.9185806395762
394.1717224121094,30.67925262451172,80.73558044433594,14.076332092285156,0.4,0,48.551635732185524,-122.16701021820828
691.1384887695312,17.802539825439453,266.0356140136719,7.3530731201171875,0.4,0,46.18321804531972,-118.07554625685732
847.4778442382812,12.42793083190918,91.03462219238281,5.0460357666015625,0.4,0,47.99467781633281,-117.15705561784259
2895.680908203125,15.02186107635498,327.0804443359375,6.091064453125,0.4,0,38.14456214469999,-119.59867454997068
874.56103515625,21.472896575927734,114.37882995605469,9.547027587890625,0.4,0,44.04223095173867,-122.1525059283195
3140.191162109375,21.905994415283203,227.18368530273438,8.971466064453125,0.4,0,39.00277483177398,-114.30258843024362
1883.039306640625,1.3822869062423706,22.234827041625977,0.6119384765625,0.4,0,38.53137925152554,-114.77985139281394
1313.4150390625,0.4570404291152954,306.87274169921875,0.595703125,0.4,0,42.63103247339643,-120.43294421855178
620.3821411132812,26.568809509277344,146.39247131347656,11.317390441894531,0.4,0,42.082506255739375,-123.94642708872995
1580.00830078125,17.208847045898438,263.3875732421875,7.30523681640625,0.4,0,45.26029451534168,-116.93073702985339
1455.9422607421875,4.377801895141602,88.2743148803711,5.62738037109375,0.4,0,42.117621784288275,-123.26097333343897
672.9863891601562,9.553543090820312,122.5217514038086,3.7326889038085938,0.4,0,47.227905982495734,-117.7666077316766
1412.9710693359375,15.705021858215332,39.463218688964844,5.9909210205078125,0.4,0,43.908937375779246,-120.6915834215789
1378.8802490234375,0.013609628193080425,244.9255828857422,0.032806396484375,0.4,0,40.62125706739518,-116.86684130455296
165.69094848632812,4.399407863616943,227.75865173339844,1.89520263671875,0.4,0,45.974271183821635,-122.9223927578984
917.3255615234375,33.30789566040039,263.6296691894531,14.488929748535156,0.4,0,42.75984725037107,-123.68727004592462
1794.5693359375,1.4821401834487915,132.38746643066406,0.5767974853515625,0.4,0,40.1514325995841,-116.44363676972608
3.8782575130462646,0.13022081553936005,188.52577209472656,0.08660781383514404,0.4,0,47.27450322130262,-122.38891638851662
1539.18505859375,1.9565550088882446,102.30007934570312,0.7675323486328125,0.4,0,43.67507202866369,-120.82057190235844
1324.7325439453125,0.14715227484703064,245.8184356689453,0.2128753662109375,0.4,0,43.44961285484294,-120.62438956550831
